nome_escola,municipio
IFNMG - CAMPUS ALMENARA,Almenara
IFNMG - CAMPUS ARACUAI,Araçuaí
CEFET-MG - UNED ARAXA,Araxá
IFMG - CAMPUS ARCOS,Arcos
IFNMG - CAMPUS ARINOS,Arinos
IFMG - CAMPUS BAMBUI,Bambuí
CAMPUS BARBACENA,Barbacena
ESCOLA PREPARATORIA DE CADETES DO AR,Barbacena
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,Belo Horizonte
COLEGIO MILITAR DE BELO HORIZONTE,Belo Horizonte
ESCOLA DE EDUCACAO BASICA E PROFISSIONAL DA UFMG - CENTRO PEDAGOGICO,Belo Horizonte
UFMG - COLEGIO TECNICO,Belo Horizonte
UFMG - TEATRO UNIVERSITARIO,Belo Horizonte
IFMG - CAMPUS BETIM,Betim
CAMPUS AVANCADO BOM SUCESSO,Bom Sucesso
IFTM - CAMPUS AVANCADO CAMPINA VERDE,Campina Verde
IFSULDEMINAS - CAMPUS CARMO DE MINAS,Carmo de Minas
CAMPUS AVANCADO CATAGUASES,Cataguases
IFMG - CAMPUS CONGONHAS,Congonhas
IFMG - CAMPUS CONSELHEIRO LAFAIETE,Conselheiro Lafaiete
CEFET-MG - UNED CONTAGEM,Contagem
IFNMG - CENTRO DE REFERENCIA CORINTO,Corinto
CEFET-MG - UNED CURVELO,Curvelo
IFNMG - CAMPUS DIAMANTINA,Diamantina
CEFET-MG - UNED DIVINOPOLIS,Divinópolis
UFV - CENTRO DE ENSINO E DESENVOLVIMENTO AGRARIO,Florestal
IFMG - CAMPUS FORMIGA,Formiga
IFMG - CAMPUS GOVERNADOR VALADARES,Governador Valadares
IFMG - CAMPUS IBIRITE,Ibirité
IFSULDEMINAS CAMPUS INCONFIDENTES,Inconfidentes
IFMG - CAMPUS IPATINGA,Ipatinga
IFMG - CAMPUS ITABIRITO,Itabirito
IFTM - CAMPUS ITUIUTABA,Ituiutaba
IFNMG - CAMPUS JANAUBA,Janaúba
IFNMG - CAMPUS JANUARIA,Januária
CAMPUS JUIZ DE FORA,Juiz de Fora
COLEGIO DE APLICACAO JOAO XXIII,Juiz de Fora
COLEGIO MILITAR DE JUIZ DE FORA,Juiz de Fora
NUCLEO DE EDUCACAO DA INFANCIA - NEDI,Lavras
CEFET-MG - UNED LEOPOLDINA,Leopoldina
IFSULDEMINAS - CAMPUS MACHADO,Machado
CAMPUS MANHUACU,Manhuaçu
IFNMG - CAMPUS MONTES CLAROS,Montes Claros
IFNMG - CENTRO DE REFERENCIA EM EDUCACAO A DISTANCIA,Montes Claros
CAMPUS MURIAE,Muriaé
IFSULDEMINAS - CAMPUS MUZAMBINHO,Muzambinho
CEFET-MG - UNED NEPOMUCENO,Nepomuceno
IFMG - CAMPUS OURO BRANCO,Ouro Branco
IFMG - CAMPUS OURO PRETO,Ouro Preto
IFTM - CAMPUS PARACATU,Paracatu
IFSULDEMINAS - CAMPUS PASSOS,Passos
IFTM - CAMPUS PATOS DE MINAS,Patos de Minas
IFTM - CAMPUS PATROCINIO,Patrocínio
IFNMG - CAMPUS PIRAPORA,Pirapora
IFMG - CAMPUS PIUMHI,Piumhi
IFSULDEMINAS - CAMPUS POCOS DE CALDAS,Poços de Caldas
IFMG - CAMPUS PONTE NOVA,Ponte Nova
IFNMG - CAMPUS PORTEIRINHA,Porteirinha
IFSULDEMINAS - CAMPUS POUSO ALEGRE,Pouso Alegre
IFMG - CAMPUS RIBEIRAO DAS NEVES,Ribeirão das Neves
CAMPUS RIO POMBA,Rio Pomba
IFMG - CAMPUS SABARA,Sabará
IFNMG - CAMPUS SALINAS,Salinas
IFMG - CAMPUS SANTA LUZIA,Santa Luzia
CAMPUS SANTOS DUMONT,Santos Dumont
CAMPUS SAO JOAO DELREI,São João del Rei
IFMG - CAMPUS SAO JOAO EVANGELISTA,São João Evangelista
IFNMG - CAMPUS TEOFILO OTONI,Teófilo Otoni
CEFET-MG - UNED TIMOTEO,Timóteo
IFSULDEMINAS - CAMPUS TRES CORACOES,Três Corações
CAMPUS AVANCADO UBA,Ubá
IFTM - CAMPUS UBERABA,Uberaba
IFTM - CAMPUS UBERABA PARQUE TECNOLOGICO,Uberaba
UFTM - CENTRO DE FORMACAO ESPECIAL EM SAUDE,Uberaba
ESCOLA DE EDUCACAO BASICA DA UFU,Uberlândia
IFTM - CAMPUS UBERLANDIA,Uberlândia
IFTM - CAMPUS UBERLANDIA CENTRO,Uberlândia
UFU - ESCOLA TECNICA DE SAUDE,Uberlândia
CEFET-MG - UNED VARGINHA,Varginha
COL DE APLICACAO DA UFV - COLUNI,Viçosa
LABORATORIO DE DESENVOLVIMENTO INFANTIL,Viçosa
